preprocessing,vectorization,model,use_log,val_smape,train_time,full_name
v1_notok,tfidf_5k_12,Ridge_a0.1,False,109.4814,0.18,v1_notok|tfidf_5k_12|Ridge_a0.1
v1_notok,tfidf_5k_12,Ridge_a0.1,True,84.4332,0.15,v1_notok|tfidf_5k_12|Ridge_a0.1_log
v1_notok,tfidf_5k_12,Ridge_a1,False,109.4814,0.17,v1_notok|tfidf_5k_12|Ridge_a1
v1_notok,tfidf_5k_12,Ridge_a1,True,84.4332,0.15,v1_notok|tfidf_5k_12|Ridge_a1_log
v1_notok,tfidf_5k_12,Ridge_a5,False,109.4814,0.18,v1_notok|tfidf_5k_12|Ridge_a5
v1_notok,tfidf_5k_12,Ridge_a5,True,84.4332,0.15,v1_notok|tfidf_5k_12|Ridge_a5_log
v1_notok,tfidf_5k_12,Ridge_a10,False,109.4814,0.18,v1_notok|tfidf_5k_12|Ridge_a10
v1_notok,tfidf_5k_12,Ridge_a10,True,84.4332,0.15,v1_notok|tfidf_5k_12|Ridge_a10_log
v1_notok,tfidf_5k_12,Ridge_a0.1,False,109.4814,0.19,v1_notok|tfidf_5k_12|Ridge_a0.1
v1_notok,tfidf_5k_12,Ridge_a0.1,True,84.4332,0.16,v1_notok|tfidf_5k_12|Ridge_a0.1_log
v1_notok,tfidf_5k_12,Ridge_a1,False,109.4814,0.18,v1_notok|tfidf_5k_12|Ridge_a1
v1_notok,tfidf_5k_12,Ridge_a1,True,84.4332,0.16,v1_notok|tfidf_5k_12|Ridge_a1_log
v1_notok,tfidf_5k_12,Ridge_a5,False,109.4814,0.18,v1_notok|tfidf_5k_12|Ridge_a5
v1_notok,tfidf_5k_12,Ridge_a5,True,84.4332,0.16,v1_notok|tfidf_5k_12|Ridge_a5_log
v1_notok,tfidf_5k_12,Ridge_a10,False,109.4814,0.17,v1_notok|tfidf_5k_12|Ridge_a10
v1_notok,tfidf_5k_12,Ridge_a10,True,84.4332,0.15,v1_notok|tfidf_5k_12|Ridge_a10_log
v1_notok,tfidf_5k_12,Lasso_a0.1,False,89.7393,715.90,v1_notok|tfidf_5k_12|Lasso_a0.1
v1_notok,tfidf_5k_12,Lasso_a0.1,True,77.3029,73.54,v1_notok|tfidf_5k_12|Lasso_a0.1_log
v1_notok,tfidf_5k_12,Lasso_a1,False,94.3132,151.54,v1_notok|tfidf_5k_12|Lasso_a1
v1_notok,tfidf_5k_12,Lasso_a1,True,78.2255,72.26,v1_notok|tfidf_5k_12|Lasso_a1_log
v1_notok,tfidf_5k_12,ElasticNet,False,99.8586,334.58,v1_notok|tfidf_5k_12|ElasticNet
v1_notok,tfidf_5k_12,ElasticNet,True,77.5043,70.91,v1_notok|tfidf_5k_12|ElasticNet_log
v1_notok,tfidf_5k_12,RF_100_10,False,92.5200,42.14,v1_notok|tfidf_5k_12|RF_100_10
v1_notok,tfidf_5k_12,RF_100_10,True,69.4747,68.50,v1_notok|tfidf_5k_12|RF_100_10_log
v1_notok,tfidf_5k_12,RF_200_20,False,86.2604,239.97,v1_notok|tfidf_5k_12|RF_200_20
v1_notok,tfidf_5k_12,RF_200_20,True,63.2635,704.33,v1_notok|tfidf_5k_12|RF_200_20_log
v1_notok,tfidf_5k_12,RF_300_30,False,82.0918,696.47,v1_notok|tfidf_5k_12|RF_300_30
v1_notok,tfidf_5k_12,RF_300_30,False,82.0918,640.37,v1_notok|tfidf_5k_12|RF_300_30
v1_notok,tfidf_5k_12,RF_300_30,True,58.9455,2444.62,v1_notok|tfidf_5k_12|RF_300_30_log
v1_notok,tfidf_5k_12,RF_500_40,False,78.6864,1802.48,v1_notok|tfidf_5k_12|RF_500_40
v1_notok,tfidf_5k_12,GB_100_5_lr01,True,69.4696,98.92,v1_notok|tfidf_5k_12|GB_100_5_lr01_log
v1_notok,tfidf_5k_12,GB_100_5_lr01,True,69.4696,100.40,v1_notok|tfidf_5k_12|GB_100_5_lr01_log
v1_notok,tfidf_5k_12,GB_150_7_lr01,True,66.6809,210.49,v1_notok|tfidf_5k_12|GB_150_7_lr01_log
v1_notok,tfidf_5k_12,GB_200_7_lr01,True,65.9696,275.82,v1_notok|tfidf_5k_12|GB_200_7_lr01_log
v1_notok,tfidf_5k_12,GB_200_10_lr008,True,63.7377,437.26,v1_notok|tfidf_5k_12|GB_200_10_lr008_log
v1_notok,tfidf_5k_12,GB_300_8_lr005,True,65.6442,496.48,v1_notok|tfidf_5k_12|GB_300_8_lr005_log
v1_notok,tfidf_5k_12,GB_300_10_lr008,True,62.5110,631.00,v1_notok|tfidf_5k_12|GB_300_10_lr008_log
v1_notok,tfidf_5k_12,GB_400_10_lr005,True,63.1311,854.83,v1_notok|tfidf_5k_12|GB_400_10_lr005_log
